id,name,ability,firstNightReminder,otherNightReminder,reminders,remindersGlobal
preacher,傳教士,每天晚上，選擇一位玩家，如果你選中了一位僕從，則他得知此事。所有被選中的僕從都失去能力。,傳教士選擇一位玩家，如果該玩家是僕從，以「傳教中」標記該玩家，喚醒該玩家並展示「這個能力選擇你」提示卡 + 傳教士的角色代幣。,傳教士選擇一位玩家，如果該玩家是僕從，以「傳教中」標記該玩家，喚醒該玩家並展示「這個能力選擇你」提示卡 + 傳教士的角色代幣。,傳教中,
princess,公主,在你的第一天，如果你提名並且處決了一位玩家，則惡魔今晚不會殺人。,,如果今天是公主的第一天，如果你提名並且處決了一位玩家，則惡魔今晚不會殺人。,Doesn't Kill,
professor,教授,每場遊戲一次，晚上時*，選擇一位死亡的玩家，如果該玩家是鎮民，則他復活。,,教授可以指向一位玩家，如果該玩家是鎮民，該玩家復活。,復活|無能力,
psychopath,精神病患者,每天白天，在提名開始前，你可以公開選擇一位玩家，該玩家死亡。如果你被處決，你只有在輸掉猜拳時才會死亡。,,,,
pukka,普卡,每天晚上，選擇一位玩家，該玩家中毒。先前因你而中毒的玩家死亡，並且變得健康。,普卡指向一位玩家，該玩家中毒。,普卡指向一位玩家，該玩家中毒，先前中毒的玩家死亡並不再中毒。,中毒|死亡,
puzzlemaster,解謎大師,一位玩家醉酒(即使你死亡)。如果你猜中是哪位玩家(每場遊戲一次)，則你得知誰是惡魔，但如果你猜錯，你會得到不正確的資訊。,,,已猜測|醉酒,
ravenkeeper,守鴉人,如果你在晚上死亡，你醒來並選擇一位玩家，你得知他的角色。,,如果守鴉人在今晚死亡，守鴉人指向一位玩家，展示該玩家的角色代幣。,,
recluse,陌客,你的身分可能會被視為邪惡的僕從或惡魔(即使你死亡)。,,,,
revolutionary,革命者,兩位相鄰的玩家會被設定為相同陣營。每場遊戲一次，其中一位玩家的身分會被視為不正確的陣營或角色。,,,不正確,
riot,暴亂,在第三天，所有僕從變成暴亂，被提名者會死亡，該玩家必須立即再提名一次。,,,,
sage,賢者,如果惡魔殺死了你，你得知惡魔是某兩位玩家中的其中一位。,,如果賢者被惡魔殺死，指向兩位玩家，其中一位是惡魔。,,
sailor,水手,每天晚上，選擇一位活著的玩家，你或該玩家醉酒到明天黃昏，你不會死亡。,水手指向一位活著的玩家，水手或該玩家醉酒。,先前醉酒的玩家不再醉酒，水手指向一位活著的玩家，水手或該玩家醉酒。,醉酒,
saint,聖徒,如果你被處死，你的陣營落敗。,,,,
savant,博學者,每天白天，你可以拜訪說書人來得知兩件事，其中一件是正確的。,,,,
scapegoat,替罪羊,如果你的陣營的玩家被處死，則可能改為你被處死。,,,,
scarletwoman,紅脣女郎,如果有五個或更多非旅行者的玩家存活時惡魔死亡，則你會變成惡魔。,,如果紅脣女郎今天成為了惡魔，將「你是」提示卡 + 惡魔的角色代幣展示給他。,是惡魔,
seamstress,女裁縫,每場遊戲一次，晚上時，選擇兩位其他的玩家，你得知他們是否為同一陣營。,女裁縫可以選擇兩位其他的玩家，如果他有選擇，以點頭或搖頭來告知他們是否屬於同一陣營。,女裁縫可以選擇兩位其他的玩家，如果他有選擇，以點頭或搖頭來告知他們是否屬於同一陣營。,無能力,
sentinel,哨兵,城外人數量可能會加一或減一。,,,,
shabaloth,沙巴洛斯,每天晚上*，選擇兩位玩家，這些玩家死亡。昨晚你選擇的其中一位玩家可能會復活。,,沙巴洛斯前一晚選擇的其中一位玩家可能會復活，沙巴洛斯選擇兩位玩家，這些玩家死亡。,復活|死亡,
shugenja,修行者,在你的第一晚，你得知離你最近的邪惡玩家是順時針或是逆時針方向，如果兩者皆是，則你得到隨機的資訊。,喚醒修行者，指向最近的邪惡玩家方向，如果兩方向相同，指向任意一邊。,,,
slayer,獵手,每場遊戲一次，白天時，公開選擇一位玩家，如果該玩家是惡魔，他會死亡。,,,無能力,
snakecharmer,舞蛇人,每天晚上，選擇一位活著的玩家，如果該玩家是惡魔，你與他交換陣營與角色，然後他中毒。,舞蛇人指向一位玩家，如果該玩家是惡魔，交換他們的角色及陣營，分別喚醒他們並展示「你是」提示卡 + 他們的新角色代幣，新的舞蛇人中毒。,舞蛇人指向一位玩家，如果該玩家是惡魔，交換他們的角色及陣營，分別喚醒他們並展示「你是」提示卡 + 他們的新角色代幣，新的舞蛇人中毒。,中毒,
snitch,告密者,僕從們會在他們的第一晚得知三個不在遊戲中的角色。,在提供僕從資訊後分別喚醒每個僕從並展示三個不在遊戲中的角色代幣(可與展示給其他僕從或惡魔的代幣相同或不同)。,,,
soldier,士兵,你免疫惡魔的負面效果。,,,,
spiritofivory,聖潔之魂,最多存在一個額外的邪惡玩家。,,,不再出現邪惡,
spy,間諜,每天晚上，你都可以查看魔典。你的身分可能會被視為善良的鎮民或城外人(即使你死亡)。,將魔典展示給間諜。,將魔典展示給間諜。,,
steward,事務官,在你的第一晚，你得知一位善良玩家。,指向一位善良玩家。,,已得知,
stormcatcher,暴風捕手,選擇一個角色名稱。如果該角色在遊戲中，該角色的玩家只能死於處刑，但邪惡玩家知道他是哪位玩家。,,,安全,
summoner,召喚師,你得到三個偽裝。在第三晚，選擇一位玩家和一個惡魔角色，該玩家變成該惡魔並轉為邪惡。[沒有惡魔],展示「這些角色不在遊戲中」提示卡 + 三個不在遊戲中的角色代幣,如果今晚是第三晚，召喚師選擇一位玩家 + 角色表上的一個惡魔角色，他成為該惡魔。,第一晚|第二晚|第三晚,
sweetheart,心上人,當你死亡時，一位玩家開始醉酒。,,選擇一位玩家，該玩家醉酒。,醉酒,
tealady,茶藝師,如果你活著的鄰居都是善良，則他們都不會死亡。,,,不會死,
thief,竊賊,每天晚上，選擇一位其他的玩家，明天該玩家投下的票都計為負票。,小偷指向一位玩家，以「負數票」標記該玩家。,小偷指向一位玩家，以「負數票」標記該玩家。,負數票,
tinker,修補匠,你隨時可能死亡。,,修補匠可能會死亡。,死亡,
tor,遺忘之門,玩家不知道自己的角色和陣營。當他們死亡時才會得知這些資訊。,Skip Minion Info and Demon Info.,"If a player died tonight, show the *YOU ARE* info token, their character token, & give a thumb signal.",當日死亡,
towncrier,城鎮公告員,每天晚上*，你得知僕從們今天是否有提名。,,以點頭或搖頭來告知僕從們今天是否有提名，以「僕從未提名」標記城鎮公告員。,僕從提名|僕從未提名,
toymaker,玩具匠,惡魔晚上時可以選擇不攻擊(且一局遊戲中至少要做一次)。邪惡玩家正常地獲得起始資訊。,,,已選擇不攻擊,
undertaker,送葬者,每天晚上*，你得知今天被處死的玩家的角色。,,如果今天有玩家被處決，將該玩家的角色代幣展示給送葬者。,處決,
ventriloquist,腹語師,如果一名玩家在被提名時“瘋狂”地證明自己是一個新的角色，他可能不會死於當天的處決。,,,瘋狂,
vigormortis,亡骨魔,每天晚上*，選擇一位玩家，該玩家死亡。你殺死的僕從們會保留他們的能力，並且使其兩側最近的其中一位鎮民中毒。[−1 城外人],,亡骨魔指向一位玩家，該玩家死亡。如果該玩家是僕從，以「具有能力」標記該玩家並讓他的一位鎮民鄰居中毒。,中毒|具有能力|死亡,
villageidiot,村夫,每天晚上，選擇一位玩家，你得知他的陣營。[+0 到 +2 村夫，其中一位醉酒],村夫指向一位玩家，展示該玩家的陣營。,村夫指向一位玩家，展示該玩家的陣營。,醉酒,
virgin,貞潔者,如果第一次提名你的人是鎮民，該玩家會被立即處死。,,,無能力,
vizier,維齊爾,所有玩家都知道你是誰。你無法在白天死亡。投票時，若有善良玩家投票，則你可以強制使處決成功。,宣布「維齊爾在遊戲中」並指向該玩家。,,,
vortox,渦流,每天晚上*，選擇一位玩家，該玩家死亡。鎮民們的能力會得到錯誤的訊息。每天白天，如果沒有人被處決，則邪惡陣營獲勝。,,渦流指向一位玩家，該玩家死亡。,死亡,
voudon,巫毒師,只有你和死亡玩家可以投票，死亡玩家投票不需使用投票代幣，也不需要50%的票數門檻。,,,,
washerwoman,洗衣婦,在你的第一晚，你得知在某兩位玩家中有一位特定的鎮民角色。,將一個在遊戲中的鎮民角色代幣展示給洗衣婦並指向兩位玩家，他們其中一位是該角色。,,鎮民|非鎮民,
widow,寡婦,在你的第一晚，查看魔典並且選擇一位玩家，該玩家中毒。一位善良玩家知道寡婦在遊戲中。,將魔典展示給寡婦，寡婦選擇一位玩家，以「中毒」標記該玩家。喚醒一位善良玩家並展示「這些角色在遊戲中」提示卡 + 寡婦的角色代幣，以「得知寡婦」標記該玩家。,,中毒,得知寡婦
witch,女巫,每天晚上，選擇一位玩家，如果該玩家於明天提名，則他會死亡，如果只剩下三位玩家存活，你失去這個能力。,女巫指向一位玩家，以「詛咒」標記該玩家。,如果有四位或以上玩家活著，女巫指向一位玩家，以「詛咒」標記該玩家。,詛咒,
wizard,巫師,每場遊戲一次，許一個願。如果願望成真，可能會有代價和留下有關其性質的線索。,運行巫師的能力（如果適用）。,運行巫師的能力（如果適用）。,?,
wraith,亡魂,你可以在晚上睜開眼睛，你在其他邪惡玩家行動時也會被喚醒。,當其他邪惡玩家行動時，喚醒亡魂。,當其他邪惡玩家行動時，喚醒亡魂。,,
xaan,限,在第X晚，所有鎮民中毒直到下個黃昏。[城外人數量為X],,,第一晚|第二晚|第三晚|X,
yaggababble,牙嘎巴布,在你的第一晚，你得知一個暗號，每當你公開說出它，今天都有一位玩家可能死亡。,展示祕密的暗號。,選擇一些玩家，數量至多為牙嘎巴布今天公開說出暗號的次數，這些玩家死亡。,死亡,
zealot,狂熱者,如果有五個或更多玩家存活，你在每次提名都需要投票。,,,,
zenomancer,異術士,一名或多名玩家各自擁有一個目標。當達成目標後，他會獲得一條正确資訊。,,,目標,
zombuul,殭怖,每天晚上*，如果今天沒有死亡，選擇一位玩家，該玩家死亡。你第一次死亡時不會死，但會被視為已死亡。,,如果今天沒有人死亡，殭怖指向一位玩家，該玩家死亡。,今天死亡|死亡,
